opponent,total_matches,wins,losses,draws
"Lupulescu,C",1,0,0,1
Lu Shanglei,1,0,0,1
"Ljubojevic,L",1,0,0,1
"Lindberg,Be",1,0,0,1
"Lie,Es",1,0,0,1
"Liang,Awonder",1,0,0,1
Li Chao2,1,0,0,1
"Korchnoi,V",1,0,0,1
"Korchmar,V",1,0,0,1
"Koneru,H",1,0,0,1
"Indjic,A",1,0,0,1
"Huzman,A",1,0,0,1
"Horvath,P1",1,0,0,1
"Hoi,C",1,0,0,1
"Hoen,R",1,0,0,1
"Hitzgerova,G",1,0,0,1
"Hillarp Persson,T",1,0,0,1
"Hemant,S2",1,0,0,1
"Hector,J",1,0,0,1
"Hansen,SuB",1,0,0,1
"Hansen,Pa",1,0,0,1
"Hamdouchi,H",1,0,0,1
"Halldorsson,H",1,0,0,1
"Halkias,S",1,0,0,1
"Hagen,B",1,0,0,1
"Hagberg,Oivind",1,0,0,1
"Haba,P",1,0,0,1
"Guseinov,El",1,0,0,1
"Illescas Cordoba,M",1,0,0,1
"Instefjord,Stian",1,0,0,1
"Kogan,Ar",1,0,0,1
"Ismagambetov,An",1,0,0,1
"Kjartansson,D",1,0,0,1
"Kiselev,G",1,0,0,1
"Khamdamov,S",1,0,0,1
"Khademalsharieh,S",1,0,0,1
"Keymer,Vincent",1,0,0,1
"Kempinski,R",1,0,0,1
"Kazhgaleyev,M",1,0,0,1
"Kayumov,S",1,0,0,1
"Kallio,H",1,0,0,1
"Kacheishvili,G",1,0,0,1
"Kabashaj,Agron",1,0,0,1
"Kaasen,Tor Fredrik",1,0,0,1
"Jussupow,Ar",1,0,0,1
"Jussupow,A",1,0,0,1
"Jumabayev,R",1,0,0,1
"Johansen,P",1,0,0,1
"Jeremic,V",1,0,0,1
"Kunte,A",1,0,0,1
