opponent,total_matches,wins,losses,draws
"Flores Rios,M",1,0,0,1
"Nakamura,H",1,0,0,1
"Fossan,E",1,0,0,1
"Gupta,Ab",1,0,0,1
"Gunnarsson,J",1,0,0,1
"Gullaksen,E",1,0,0,1
"Gulbrandsen,Gustav",1,0,0,1
"Gukesh,D",1,0,0,1
"Gudbrandsen,G",1,0,0,1
"Grojean,Andrew",1,0,0,1
"Groenn,A",1,0,0,1
"Grigoriants,S RUS",1,0,0,1
"Grigore,Ge",1,0,0,1
"Gretarsson,H",1,0,0,1
"Gorozhanin,M",1,0,0,1
"Goldman,Bjoern",1,0,0,1
"Ghosh,D",1,0,0,1
"Ghaem Maghami,E",1,0,0,1
"Georgiev,Vl",1,0,0,1
"Georgiev,Ki",1,0,0,1
"Georgiadis,N",1,0,0,1
"Gabrielsen,S",1,0,0,1
"Daly,C",1,0,0,1
"Crumiller, Jon",1,0,0,1
"Cornette,M",1,0,0,1
"Cordova,E",1,0,0,1
"Bekker Jensen,Anders",1,0,0,1
"Beerdsen,Thomas",1,0,0,1
"Bauer,Ch",1,0,0,1
"Batsuren,Dambasuren",1,0,0,1
"Batsiashvili,N",1,0,0,1
"Baramidze,D",1,0,0,1
"Balogun,Oluwafemi",1,0,0,1
"Bae,T",1,0,0,1
"Azarov,S",1,0,0,1
"Avrukh,B",1,0,0,1
"Arduman,C",1,0,0,1
"Andersson,U",1,0,0,1
"Andersen,A",1,0,0,1
"Anagnostopoulos,D",1,0,0,1
"Amin,B",1,0,0,1
"Aldrovandi,C",1,0,0,1
"Akopian,Vl",1,0,0,1
"Agrest,E",1,0,0,1
"Adly,A",1,0,0,1
"Belov,Vl",1,0,0,1
"Berg,O",1,0,0,1
"Berkowitz,Ben",1,0,0,1
"Bruzon,L",1,0,0,1
"Coleman,T",1,0,0,1
"Cmilyte,V",1,0,0,1
"Christenson,F",1,0,0,1
"Chadaev,N",1,0,0,1
"Carlsen,H",1,0,0,1
"Caoili,A",1,0,0,1
"Calzetta,M",1,0,0,1
"Burmakin,V",1,0,0,1
"Bromberger,S",1,0,0,1
"Bindrich,F",1,0,0,1
"Breivik,Lars",1,0,0,1
"Brameld,A",1,0,0,1
"Bosiocic,Mari",1,0,0,1
"Boruchovsky,A",1,0,0,1
"Bok,B",1,0,0,1
"Bluvshtein,M",1,0,0,1
"Bjerre,Jonas Buhl",1,0,0,1
"Birkisson,Bardur Orn",1,0,0,1
"Gurevich,D",1,0,0,1
